,_sa_instance_state,station_id,stop_no,train_id
0,<sqlalchemy.orm.state.InstanceState object at 0x0E45AE10>,43,40,12467
1,<sqlalchemy.orm.state.InstanceState object at 0x0E45AEB0>,43,5,12467
2,<sqlalchemy.orm.state.InstanceState object at 0x0E45AEF0>,43,5,13467
3,<sqlalchemy.orm.state.InstanceState object at 0x0E45AF30>,43,40,15789
